Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,1.02579049637873,..,..,..,..,1.32185126302773,..,1.32185126302773,..,..
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,96.45,..,96.6,..,..,97,..,..,..,..,98.08,98.1,..,..,..,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.86580837597139,1.89123873617418,1.8352662792254,1.75149065902436,1.81513348184222,1.84269049471974,1.82313307231817,1.88403447079654,1.99020301392266,1.86652237546496,2.11341454484465,2.19139356376845,2.32225814003511,2.46587023517652,..,..,..
Brazil,BRA,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,80.3,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,70.6811902718893,72.8651190601992,75.1816294401903,74.2621585831115,72.9088201184314,76.2352094171195,82.9100875186163,87.3153294974317,85.9087810884461,90.474934067301,93.3886789165426,95.2147115333087,101.250114747329,100.331297344255,105.107335604577,108.721521187344,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1886.60170894523,1735.95476133099,1791.62053279927,1863.62772484548,1933.98363366901,1990.6436379943,2044.85892452464,2137.76499203481,2198.48369019378,2165.68474296494,2339.44492027479,2394.39848826425,2463.2761767319,2529.3037097631,..,..,..
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1066.30285552001,1068.89593438597,1081.26747985115,1083.58877868398,1128.55074435341,1142.46987625799,1168.42938262865,1221.36231051455,1276.27463668681,1222.42911177943,1338.58958871663,1346.6496534289,1391.90930936588,1437.79598916529,..,..,..
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.1881171852392,12.3716707353035,14.2306359266732,15.1808171478698,16.5457795939216,15.2437777114362,14.3743177903671,13.3276451578395,13.5340084243278,10.8513549192329,10.7381966561739,11.4732564823313,11.7245800588941,11.6633546225822,11.1868352525183,13.0426947536148,..
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,242511682000,229959721000,231944172000,235907976000,220693598000,188364548000,194303020000,238444455000,262957242000,281651132000,352364412000,404046105000,440514543000,483766051000,556921499000,543399361000,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.364,2.318,2.264,2.202,2.135,2.066,2.002,1.944,1.898,1.863,1.838,1.823,1.812,1.801,1.79,..,..
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,32994718699.75,23225846372.251,16586600193.114,10123013670.9901,18181190855.2842,15459981604.1196,19378093068.2773,44579492463.6336,50716402711.4787,31480932200,88452079263.99,101157817518.34,86606502980.75,69181422946.63,96894980842.28,75074564670.27,..
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5212740,5183660,5154580,5125500,5096420,5067340,5050788,5034236,5017684,5001132,4984580,4974740,4964900,4955060,4945220,4935380,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,655421153320.579,559372502338.237,507962741819.919,558320116997.075,669316239316.239,891629970423.924,1107640325472.35,1397084381901.29,1695824517395.57,1667020106031.81,2208872214643.02,2614573170731.71,2460658440428.04,2465773850934.56,2417046323841.9,1774724818900.48,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.11256490969872,1.65781796741371,3.05316092095462,1.14031904269835,5.76088072785559,3.20205152513094,3.9605020306966,6.07228368974322,5.0937670118105,-0.126147414522805,7.5287973813094,3.91025534813343,1.91545862251942,3.01514051081094,0.103371359100009,-3.84736249471105,..
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3840,3290,3040,2920,3280,3910,4710,5980,7330,7990,9650,11010,12020,12180,11790,9850,..
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8570,8770,9070,9220,9930,10440,11030,11870,12510,12470,13880,14580,14750,15110,15650,15050,..
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,675790071743.056,586438955950.805,550998615470.792,536557599768.144,609948809442.153,736137537124.828,898062843057.088,1152771794403.54,1427429227954.39,1572431407312.16,1916259918945.84,2207921370327.45,2432060895650.26,2486873995686.96,2429860930043.96,2047109614135.39,..
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1507050122766.8,1564651423209.54,1641774317970.37,1693032182933.71,1848266044659.05,1966866706488.08,2103693691281.62,2288657425016.48,2436485679346.43,2453732775406.43,2757521956561.33,2923558911954.14,2985387954005.45,3086478693757.56,3225317934380.03,3129050617316,..
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,18.9031209422455,18.7417727906998,17.4490256503948,16.8567089515359,17.9125015962201,17.2048628387568,17.8165141422316,19.819333645313,21.6193758897268,18.7961140580371,21.8013159547157,21.8137769345477,21.4124187042959,21.7312287981371,20.8645211884001,17.7119274458144,..
Brazil,BRA,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,..,150.785552978516,146.827789306641,140.544494628906,133.696304321289,133.262161254883,..,128.179794311523,132.055206298828,131.165161132813,..,132.496612548828,130.376022338867,109.770492553711,..,..,..
Brazil,BRA,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,..,..,109.994216918945,101.868667602539,102.371032714844,101.2919921875,..,95.1699981689453,96.7201232910156,96.6654815673828,..,95.2633819580078,95.5837326049805,101.868072509766,..,..,..
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,18.7272598749131,19.2461607295241,16.5202990318049,11.9559951190012,11.5927224252856,12.8431484816843,12.0764232711397,11.8659413226512,11.6469356522228,13.1972778587211,11.2076318528468,9.72019416244045,10.4927030694402,9.63455019027836,10.6149904729823,12.3050408206255,..
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,96,97,97,98,99,99,99,99,99,99,99,99,99,99,..
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,12.4516613807269,14.5646305242005,13.3877355271536,12.9596245760211,13.1324735027455,11.8429878779167,11.6673514702525,11.9649092753164,13.7236024275493,11.2546204065958,11.7792049508885,12.2431612165377,13.086298708757,13.9714339724497,13.9206232823602,14.3247195449036,..
Brazil,BRA,Improved sanitation facilities (% of population with access),SH.STA.ACSN,74.7,75.3,75.9,76.5,77.1,77.7,78.2,78.8,79.4,79.9,80.5,81.1,81.6,82.1,82.7,82.8,..
Brazil,BRA,Improved water source (% of population with access),SH.H2O.SAFE.ZS,93.5,93.8,94.2,94.5,94.9,95.2,95.6,95.9,96.2,96.5,96.9,97.2,97.5,97.8,98.1,98.1,..
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,..,2.4,2.59,2.59,2.82,2.9,3,2.97,3.14,3.17,..,3.25,3.38,3.28,3.62,..,..
Brazil,BRA,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,26.7490589784413,26.5865004435829,26.3662658418188,26.9642630091309,28.6322595551576,28.4720078011002,27.6818800657789,27.1206469592089,27.333496543088,25.5888386468765,27.375190025799,27.1910842536737,26.0637605215826,24.9374696492043,23.9685440662903,22.7365293162692,..
